zip,slic,state,city
01223,0120,MA,BECKET
01224,0120,MA,BERKSHIRE
01225,0120,MA,CHESHIRE
01226,0120,MA,DALTON
01227,0120,MA,DALTON
01229,0120,MA,GLENDALE
01230,0120,MA,GREAT BARRINGTON
01235,0120,MA,HINSDALE
01236,0120,MA,HOUSATONIC
01237,0120,MA,LANESBORO
01238,0120,MA,LEE
01240,0120,MA,LENOX
01242,0120,MA,LENOX DALE
01243,0120,MA,MIDDLEFIELD
01244,0120,MA,MILL RIVER
01245,0120,MA,MONTEREY
01247,0120,MA,NORTH ADAMS
01252,0120,MA,NORTH EGREMONT
01253,0120,MA,OTIS
01254,0120,MA,RICHMOND
01255,0120,MA,SANDISFIELD
01256,0120,MA,SAVOY
01257,0120,MA,SHEFFIELD
01258,0120,MA,SOUTH EGREMONT
01259,0120,MA,SOUTHFIELD
01260,0120,MA,SOUTH LEE
01262,0120,MA,STOCKBRIDGE
01263,0120,MA,STOCKBRIDGE
01264,0120,MA,TYRINGHAM
01266,0120,MA,WEST STOCKBRIDGE
01267,0120,MA,WILLIAMSTOWN
01270,0120,MA,WINDSOR
01301,0130,MA,GREENFIELD
01302,0130,MA,GREENFIELD
01330,0130,MA,ASHFIELD
01331,0130,MA,ATHOL
01337,0130,MA,BERNARDSTON
01338,0130,MA,BUCKLAND
01339,0130,MA,CHARLEMONT
01340,0130,MA,COLRAIN
01341,0130,MA,CONWAY
01342,0130,MA,DEERFIELD
01343,0120,MA,DRURY
01344,0130,MA,ERVING
01346,0130,MA,HEATH
01347,0130,MA,LAKE PLEASANT
01349,0130,MA,TURNERS FALLS
01350,0130,MA,MONROE BRIDGE
01351,0130,MA,MONTAGUE
01354,0130,MA,NORTHFIELD
01355,0130,MA,NEW SALEM
01360,0130,MA,NORTHFIELD
01364,0130,MA,ORANGE
01366,0130,MA,PETERSHAM
01367,0130,MA,ROWE
01368,0130,MA,ROYALSTON
01370,0130,MA,SHELBURNE FALLS
01373,0130,MA,SOUTH DEERFIELD
01375,0130,MA,SUNDERLAND
01376,0130,MA,TURNERS FALLS
01378,0130,MA,WARWICK
01379,0130,MA,WENDELL
01380,0130,MA,WENDELL DEPOT
01420,0189,MA,FITCHBURG
01430,0189,MA,ASHBURNHAM
01431,0189,MA,ASHBY
01432,0189,MA,AYER
01434,0189,,
01436,0130,MA,BALDWINVILLE
01438,0189,MA,EAST TEMPLETON
01440,0189,MA,GARDNER
01441,0189,MA,WESTMINSTER
01450,0189,MA,GROTON
01451,0189,MA,HARVARD
01452,0169,MA,HUBBARDSTON
01453,0189,MA,LEOMINSTER
01460,0189,MA,LITTLETON
01462,0189,MA,LUNENBURG
01463,0189,MA,PEPPERELL
01464,0189,MA,SHIRLEY
01467,0189,MA,STILL RIVER
01468,0189,MA,TEMPLETON
01469,0189,MA,TOWNSEND
